Day,Time,Tide Height
2022-01-01,8:07,6.57
2022-01-01,15:37,-0.39
2022-01-02,8:55,5.38
2022-01-02,16:25,-1.74
2022-01-03,9:45,5.26
2022-01-03,17:14,-1.36
2022-01-04,10:35,4.13
2022-01-04,18:00,-1.15
2022-01-05,11:28,3.48
2022-01-05,18:46,-1.61
2022-01-06,12:22,2.62
2022-01-06,19:31,0.05
2022-01-07,13:24,1.83
2022-01-07,20:16,1.01
2022-01-08,3:22,3.57
2022-01-08,21:01,0.73
2022-01-09,4:07,4.54
2022-01-09,21:46,2.17
2022-01-10,4:50,3.76
2022-01-10,11:58,2.88
2022-01-11,5:31,3.9
2022-01-11,12:56,1.92
2022-01-12,6:08,4.73
2022-01-12,13:45,1.74
2022-01-13,6:47,5.66
2022-01-13,14:25,0.79
2022-01-14,7:22,5.33
2022-01-14,15:00,-0.04
2022-01-15,7:59,5.23
2022-01-15,15:34,-1.12
2022-01-16,8:34,6.67
2022-01-16,16:08,-0.61
2022-01-17,9:10,4.74
2022-01-17,16:41,-0.93
2022-01-18,9:45,4.69
2022-01-18,17:12,-1.29
2022-01-19,10:21,4.2
2022-01-19,17:45,0.22
2022-01-20,10:57,3.68
2022-01-20,18:15,0.26
2022-01-21,11:38,2.47
2022-01-21,18:48,0.36
2022-01-22,12:25,2.59
2022-01-22,19:20,0.99
2022-01-23,2:22,4.1
2022-01-23,19:52,1.87
2022-01-24,2:58,3.17
2022-01-24,20:30,1.6
2022-01-25,3:37,3.71
2022-01-25,10:44,3.1
2022-01-26,4:23,4.04
2022-01-26,11:55,2.49
2022-01-27,5:15,4.07
2022-01-27,12:57,2.18
2022-01-28,6:09,5.93
2022-01-28,13:50,0.7
2022-01-29,7:05,6.89
2022-01-29,14:39,0.21
2022-01-30,7:58,6.72
2022-01-30,15:27,0.22
2022-01-31,8:50,6.77
2022-01-31,16:10,-1.68
2022-02-01,9:40,5.77
2022-02-01,16:52,-1.32
2022-02-02,10:30,4.35
2022-02-02,17:34,-0.73
2022-02-03,11:19,4.23
2022-02-03,18:12,-0.38
2022-02-04,12:10,2.24
2022-02-04,18:49,-0.61
2022-02-05,1:32,3.45
2022-02-05,19:24,-0.46
2022-02-06,2:13,4.13
2022-02-06,20:00,1.21
2022-02-07,2:54,3.34
2022-02-07,9:54,2.58
2022-02-08,3:39,3.32
2022-02-08,11:15,3.26
2022-02-09,4:29,5.21
2022-02-09,12:22,2.39
2022-02-10,5:21,4.83
2022-02-10,13:14,2.41